places,ages,is_group,time,purpose,fee
2,2,0,1,その他,1000
2,2,0,3,その他,1000
2,2,0,4,その他,1000
2,3,0,1,その他,1000
2,3,0,3,その他,1000
2,3,0,4,その他,1000
2,4,0,1,その他,1000
2,4,0,3,その他,1000
2,4,0,4,その他,1000
2,5,0,1,その他,1000
2,5,0,3,その他,1000
2,5,0,4,その他,1000
3,2,0,1,その他,500
3,2,0,3,その他,500
3,2,0,4,その他,500
3,3,0,1,その他,500
3,3,0,3,その他,500
3,3,0,4,その他,500
3,4,0,1,その他,500
3,4,0,3,その他,500
3,4,0,4,その他,500
3,5,0,1,その他,500
3,5,0,3,その他,500
3,5,0,4,その他,500
4,2,0,1,その他,400
4,2,0,3,その他,400
4,2,0,4,その他,400
4,3,0,1,その他,400
4,3,0,3,その他,400
4,3,0,4,その他,400
4,4,0,1,その他,400
4,4,0,3,その他,400
4,4,0,4,その他,400
4,5,0,1,その他,400
4,5,0,3,その他,400
4,5,0,4,その他,400
