places,ages,is_group,purpose,fee
8,6,0,,200
8,4,0,,150
8,5,0,,150
8,2,0,,100
8,3,0,,100
8,6,1,一般使用,1200
8,4,1,一般使用,900
8,5,1,一般使用,900
8,2,1,一般使用,600
8,3,1,一般使用,600
8,6,1,競技会使用,2400
8,4,1,競技会使用,1800
8,5,1,競技会使用,1800
8,2,1,競技会使用,1200
8,3,1,競技会使用,1200
8,6,1,営利目的使用（入場料あり）,12000
8,6,1,営利目的使用（入場料なし）,6000
10,6,0,,200
10,4,0,,150
10,5,0,,150
10,2,0,,100
10,3,0,,100
10,6,1,一般使用,2800
10,4,1,一般使用,2100
10,5,1,一般使用,2100
10,2,1,一般使用,1400
10,3,1,一般使用,1400
10,6,1,競技会使用,5600
10,4,1,競技会使用,4200
10,5,1,競技会使用,4200
10,2,1,競技会使用,2800
10,3,1,競技会使用,2800
10,6,1,営利目的使用（入場料あり）,28000
10,6,1,営利目的使用（入場料なし）,14000
9,6,0,,200
9,4,0,,150
9,5,0,,150
9,2,0,,100
9,3,0,,100
9,6,1,一般使用,1800
9,4,1,一般使用,1350
9,5,1,一般使用,1350
9,2,1,一般使用,900
9,3,1,一般使用,900
9,6,1,競技会使用,3600
9,4,1,競技会使用,2700
9,5,1,競技会使用,2700
9,2,1,競技会使用,1800
9,3,1,競技会使用,1800
9,6,1,営利目的使用（入場料あり）,18000
9,6,1,営利目的使用（入場料なし）,9000
