places,ages,is_group,time,purpose,fee
1,2,0,2,,150
1,3,0,2,,150
1,4,0,2,,250
1,5,0,2,,250
1,6,0,2,,300
1,7,0,2,,150
1,8,0,2,,150
1,2,0,3,,150
1,3,0,3,,150
1,4,0,3,,250
1,5,0,3,,250
1,6,0,3,,300
1,7,0,3,,150
1,8,0,3,,150
1,2,0,4,,150
1,3,0,4,,150
1,4,0,4,,250
1,5,0,4,,250
1,6,0,4,,300
1,7,0,4,,150
1,8,0,4,,150
1,2,1,5,一般使用,700
1,3,1,5,一般使用,700
1,4,1,5,一般使用,1050
1,5,1,5,一般使用,1050
1,6,1,5,一般使用,1400
1,7,1,5,一般使用,700
1,8,1,5,一般使用,700
1,2,1,5,競技会使用,1400
1,3,1,5,競技会使用,1400
1,4,1,5,競技会使用,2100
1,5,1,5,競技会使用,2100
1,6,1,5,競技会使用,2800
1,7,1,5,競技会使用,1400
1,8,1,5,競技会使用,1400
1,6,1,5,営利目的使用（入場料あり）,14000
1,6,1,5,営利目的使用（入場料なし）,7000
2,6,0,1,その他,1000
2,6,0,3,その他,1000
2,6,0,4,その他,1000
3,6,0,1,その他,500
3,6,0,3,その他,500
3,6,0,4,その他,500
4,6,0,1,その他,400
4,6,0,3,その他,400
4,6,0,4,その他,400
2,7,0,1,その他,1000
2,7,0,3,その他,1000
2,7,0,4,その他,1000
3,7,0,1,その他,500
3,7,0,3,その他,500
3,7,0,4,その他,500
4,7,0,1,その他,400
4,7,0,3,その他,400
4,7,0,4,その他,400
2,8,0,1,その他,1000
2,8,0,3,その他,1000
2,8,0,4,その他,1000
3,8,0,1,その他,500
3,8,0,3,その他,500
3,8,0,4,その他,500
4,8,0,1,その他,400
4,8,0,3,その他,400
4,8,0,4,その他,400
5,2,0,1,,100
5,3,0,1,,100
5,4,0,1,,150
5,5,0,1,,150
5,6,0,1,,200
5,7,0,1,,100
5,8,0,1,,100
5,2,0,3,,100
5,3,0,3,,100
5,4,0,3,,150
5,5,0,3,,150
5,6,0,3,,200
5,7,0,3,,100
5,8,0,3,,100
5,2,0,4,,100
5,3,0,4,,100
5,4,0,4,,150
5,5,0,4,,150
5,6,0,4,,200
5,7,0,4,,100
5,8,0,4,,100
5,2,1,1,一般使用,600
5,3,1,1,一般使用,600
5,4,1,1,一般使用,900
5,5,1,1,一般使用,900
5,6,1,1,一般使用,1200
5,7,1,1,一般使用,600
5,8,1,1,一般使用,600
5,2,1,3,一般使用,600
5,3,1,3,一般使用,600
5,4,1,3,一般使用,900
5,5,1,3,一般使用,900
5,6,1,3,一般使用,1200
5,7,1,3,一般使用,600
5,8,1,3,一般使用,600
5,2,1,4,一般使用,600
5,3,1,4,一般使用,600
5,4,1,4,一般使用,900
5,5,1,4,一般使用,900
5,6,1,4,一般使用,1200
