usage_category_id,usage_id
1,1
1,4
1,7
2,1
2,4
2,7
3,2
3,4
3,7
4,2
4,4
4,7
5,3
5,5
5,6
6,3
6,5
6,6
7,3
7,5
7,6
8,1
8,5
8,6
9,1
9,5
9,6
10,2
10,4
10,7
11,2
11,4
11,7
12,3
12,4
12,7
13,3
13,4
13,7
14,1
14,5
14,7
15,1
15,5
15,7
16,1
16,4
16,7
17,1
17,4
17,7
18,3
18,5
18,6
19,2
19,4
19,7
20,1
20,4
20,7
21,1
21,4
21,7
22,1
22,4
22,7
23,2
23,4
23,7
24,2
24,4
24,7
25,3
25,5
25,6
26,3
26,5
26,6
27,3
27,5
27,6
28,1
28,5
28,6
29,1
29,5
29,6
30,2
30,4
30,7
31,2
31,4
31,7
32,3
32,4
32,7
33,3
33,4
33,7
34,1
34,5
34,7
35,1
35,5
35,7
36,1
36,4
36,7
37,1
37,4
37,7
38,3
38,5
38,6
39,2
39,4
39,7
40,1
40,4
40,7
