id,places,ages,is_group,purpose,fee
1,1,1,0,,0
2,1,2,0,,150
3,1,3,0,,150
4,1,4,0,,250
5,1,5,0,,250
6,1,6,0,,300
7,1,7,0,,150
8,1,8,0,,150
9,2,1,0,,0
10,2,2,0,,150
11,2,3,0,,150
12,2,4,0,,250
13,2,5,0,,250
14,2,6,0,,300
15,2,7,0,,150
16,2,8,0,,150
17,3,1,0,,0
18,3,2,0,,150
19,3,3,0,,150
20,3,4,0,,250
21,3,5,0,,250
22,3,6,0,,300
23,3,7,0,,150
24,3,8,0,,150
25,4,1,0,,0
26,4,2,0,,150
27,4,3,0,,150
28,4,4,0,,250
29,4,5,0,,250
30,4,6,0,,300
31,4,7,0,,150
32,4,8,0,,150
33,5,1,0,,500
34,5,2,0,,500
35,5,3,0,,500
36,5,4,0,,500
37,5,5,0,,500
38,5,6,0,,500
39,5,7,0,,500
40,5,8,0,,500
41,1,1,1,一般使用,0
42,1,2,1,一般使用,700
43,1,3,1,一般使用,700
44,1,4,1,一般使用,1050
45,1,5,1,一般使用,1050
46,1,6,1,一般使用,1400
47,1,7,1,一般使用,700
48,1,8,1,一般使用,700
49,2,1,1,一般使用,0
50,2,2,1,一般使用,700
51,2,3,1,一般使用,700
52,2,4,1,一般使用,1050
53,2,5,1,一般使用,1050
54,2,6,1,一般使用,1400
55,2,7,1,一般使用,700
56,2,8,1,一般使用,700
57,3,1,1,一般使用,0
58,3,2,1,一般使用,700
59,3,3,1,一般使用,700
60,3,4,1,一般使用,1050
61,3,5,1,一般使用,1050
62,3,6,1,一般使用,1400
63,3,7,1,一般使用,700
64,3,8,1,一般使用,700
65,4,1,1,一般使用,0
66,4,2,1,一般使用,700
67,4,3,1,一般使用,700
68,4,4,1,一般使用,1050
69,4,5,1,一般使用,1050
70,4,6,1,一般使用,1400
71,4,7,1,一般使用,700
72,4,8,1,一般使用,700
73,1,1,1,競技会使用,0
74,1,2,1,競技会使用,1400
75,1,3,1,競技会使用,1400
76,1,4,1,競技会使用,2100
77,1,5,1,競技会使用,2100
78,1,6,1,競技会使用,2800
79,1,7,1,競技会使用,1400
80,1,8,1,競技会使用,1400
81,2,1,1,競技会使用,0
82,2,2,1,競技会使用,1400
83,2,3,1,競技会使用,1400
84,2,4,1,競技会使用,2100
85,2,5,1,競技会使用,2100
86,2,6,1,競技会使用,2800
87,2,7,1,競技会使用,1400
88,2,8,1,競技会使用,1400
89,3,1,1,競技会使用,0
90,3,2,1,競技会使用,1400
91,3,3,1,競技会使用,1400
92,3,4,1,競技会使用,2100
93,3,5,1,競技会使用,2100
94,3,6,1,競技会使用,2800
95,3,7,1,競技会使用,1400
96,3,8,1,競技会使用,1400
97,4,1,1,競技会使用,0
98,4,2,1,競技会使用,1400
99,4,3,1,競技会使用,1400
100,4,4,1,競技会使用,2100
101,4,5,1,競技会使用,2100
102,4,6,1,競技会使用,2800
103,4,7,1,競技会使用,1400
104,4,8,1,競技会使用,1400
105,1,6,1,営利目的使用（入場料あり）,14000
106,2,6,1,"営利目的使用（入場料あり） ",14000
107,3,6,1,営利目的使用（入場料あり）,14000
108,4,6,1,営利目的使用（入場料あり）,14000
109,1,6,1,営利目的使用（入場料なし）,7000
110,2,6,1,営利目的使用（入場料なし）,7000
111,3,6,1,営利目的使用（入場料なし）,7000
112,4,6,1,営利目的使用（入場料なし）,7000
